﻿Depart,Arrivée,Path,Order Path,Order Point,Code Ligne,Libelle Ligne,Nom Voie,Idreseau,Longitude,Latitude
87386425,87381657,"00",6,22,338000,Ligne d'Achères à Pontoise,V1,313699,2.094389,48.956816
87386425,87381657,"00",6,23,338000,Ligne d'Achères à Pontoise,V1,313700,2.091929,48.955855
87386425,87381657,"00",6,24,338000,Ligne d'Achères à Pontoise,V1,313701,2.084079,48.95646
87386425,87381657,"00",6,25,338000,Ligne d'Achères à Pontoise,V1,313702,2.081741,48.9586
87386425,87381657,"00",6,26,338000,Ligne d'Achères à Pontoise,V1,313703,2.080851,48.960002
87386425,87381657,"00",6,27,338000,Ligne d'Achères à Pontoise,V1,313704,2.079312,48.962656
87386425,87381657,"00",6,28,338000,Ligne d'Achères à Pontoise,V1,313705,2.077659,48.969331
87386417,87386425,"00",5,0,340000,Ligne de Paris-St-Lazare au Havre,V1,313842,2.155579,48.938461
87386417,87386425,"00",5,1,340000,Ligne de Paris-St-Lazare au Havre,V1,313843,2.15275,48.940208
87386417,87386425,"00",5,2,340000,Ligne de Paris-St-Lazare au Havre,V1,313844,2.150755,48.941508
87386417,87386425,"00",5,3,340000,Ligne de Paris-St-Lazare au Havre,V1,313845,2.149888,48.942074
87386417,87386425,"00",5,4,340000,Ligne de Paris-St-Lazare au Havre,V1,313846,2.148979,48.942736
87386417,87386425,"00",5,5,340000,Ligne de Paris-St-Lazare au Havre,V1,313847,2.146729,48.94429
87386417,87386425,"00",5,6,340000,Ligne de Paris-St-Lazare au Havre,V1,313848,2.14663,48.944352
87386409,87386417,"00",4,0,975900,Ligne de Nanterre-Université à Sartrouville,V1,354084,2.183576,48.921088
87386409,87386417,"00",4,1,975900,Ligne de Nanterre-Université à Sartrouville,V1,354085,2.181315,48.92228
87386409,87386417,"00",4,2,975900,Ligne de Nanterre-Université à Sartrouville,V1,354086,2.179142,48.923399
87386409,87386417,"00",4,3,975900,Ligne de Nanterre-Université à Sartrouville,V1,354087,2.176759,48.924777
87386409,87386417,"00",4,4,975900,Ligne de Nanterre-Université à Sartrouville,V1,354088,2.17499,48.925925
87386409,87386417,"00",4,5,975900,Ligne de Nanterre-Université à Sartrouville,V1,354089,2.173654,48.926844
87386409,87386417,"00",4,6,975900,Ligne de Nanterre-Université à Sartrouville,V1,354090,2.172294,48.927755
87386409,87386417,"00",4,7,975900,Ligne de Nanterre-Université à Sartrouville,V1,354091,2.170227,48.929095
87386409,87386417,"00",4,8,975900,Ligne de Nanterre-Université à Sartrouville,V1,354092,2.16866,48.930121
87386409,87386417,"00",4,9,975900,Ligne de Nanterre-Université à Sartrouville,V1,354093,2.16744,48.930989
87386409,87386417,"00",4,10,975900,Ligne de Nanterre-Université à Sartrouville,V1,354094,2.166958,48.931315
87386409,87386417,"00",4,11,340000,Ligne de Paris-St-Lazare au Havre,V1,313836,2.163999,48.933184
87386409,87386417,"00",4,12,340000,Ligne de Paris-St-Lazare au Havre,V1,313837,2.162622,48.934078
87386409,87386417,"00",4,13,340000,Ligne de Paris-St-Lazare au Havre,V1,313838,2.161534,48.934769
87386409,87386417,"00",4,14,340000,Ligne de Paris-St-Lazare au Havre,V1,313839,2.160455,48.935454
87386409,87386417,"00",4,15,340000,Ligne de Paris-St-Lazare au Havre,V1,313840,2.159748,48.935909
87386409,87386417,"00",4,16,340000,Ligne de Paris-St-Lazare au Havre,V1,313841,2.1574,48.937371
87386318,87386409,"00",3,0,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354026,2.215125,48.901598
87386318,87386409,"00",3,1,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354027,2.206144,48.901604
87386318,87386409,"00",3,2,975900,Ligne de Nanterre-Université à Sartrouville,V1,354073,2.205584,48.901793
87386318,87386409,"00",3,3,975900,Ligne de Nanterre-Université à Sartrouville,V1,354074,2.202008,48.902952
87386318,87386409,"00",3,4,975900,Ligne de Nanterre-Université à Sartrouville,V1,354075,2.197457,48.905274
87386318,87386409,"00",3,5,975900,Ligne de Nanterre-Université à Sartrouville,V1,354076,2.196008,48.907778
87386318,87386409,"00",3,6,975900,Ligne de Nanterre-Université à Sartrouville,V1,354077,2.195577,48.910018
87386318,87386409,"00",3,7,975900,Ligne de Nanterre-Université à Sartrouville,V1,354078,2.193053,48.916553
87386318,87386409,"00",3,8,975900,Ligne de Nanterre-Université à Sartrouville,V1,354079,2.192386,48.916876
87386318,87386409,"00",3,9,975900,Ligne de Nanterre-Université à Sartrouville,V1,354080,2.190135,48.917926
87386318,87386409,"00",3,10,975900,Ligne de Nanterre-Université à Sartrouville,V1,354081,2.189235,48.918347
87386318,87386409,"00",3,11,975900,Ligne de Nanterre-Université à Sartrouville,V1,354082,2.188677,48.918614
87386318,87386409,"00",3,12,975900,Ligne de Nanterre-Université à Sartrouville,V1,354083,2.186969,48.919383
87386003,87386318,"00",2,0,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354019,2.239037,48.90933
87386003,87386318,"00",2,1,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354020,2.238348,48.909101
87386003,87386318,"00",2,2,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354021,2.235433,48.908061
87386003,87386318,"00",2,3,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354022,2.230573,48.906488
87386003,87386318,"00",2,4,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354023,2.227422,48.905556
87386003,87386318,"00",2,5,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354024,2.219206,48.902875
87386003,87386318,"00",2,6,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354025,2.216901,48.902151
87386300,87386003,"00",1,0,340000,Ligne de Paris-St-Lazare au Havre,V1,313813,2.255197,48.913794
87386300,87386003,"00",1,1,340000,Ligne de Paris-St-Lazare au Havre,V1,313814,2.250965,48.91308
87386300,87386003,"00",1,2,340000,Ligne de Paris-St-Lazare au Havre,V1,313815,2.249673,48.912753
87386300,87386003,"00",1,3,340000,Ligne de Paris-St-Lazare au Havre,V1,313816,2.246556,48.911816
87382002,87386300,"00",0,0,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354010,2.263960936,48.90822434
87382002,87386300,"00",0,1,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354011,2.263678219,48.90932636
87382002,87386300,"00",0,2,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354012,2.259934916,48.91308004
87381129,87381137,"0",2,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353773,2.296553,48.897846
87381129,87381137,"0",2,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353774,2.295247,48.898702
87381129,87381137,"0",2,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353775,2.29495,48.898877
87381129,87381137,"0",2,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353776,2.293484,48.899763
87381129,87381137,"0",2,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353777,2.292209,48.900541
87381129,87381137,"0",2,5,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353778,2.290127,48.901759
87381129,87381137,"0",2,6,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353779,2.28923,48.902278
87381129,87381137,"0",2,7,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353780,2.288205,48.902848
87381129,87381137,"0",2,8,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353781,2.285011,48.904711
87381111,87381129,"0",1,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353764,2.311418,48.888901
87381111,87381129,"0",1,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353765,2.30949,48.890007
87381111,87381129,"0",1,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353766,2.307508,48.89134
87381111,87381129,"0",1,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353767,2.305565,48.892639
87381111,87381129,"0",1,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353768,2.304245,48.893487
87381111,87381129,"0",1,5,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353769,2.302466,48.894576
87381111,87381129,"0",1,6,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353770,2.301296,48.895259
87381111,87381129,"0",1,7,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353771,2.29998,48.896037
87381111,87381129,"0",1,8,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353772,2.298299,48.896915
87384008,87381111,"0",0,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353758,2.323897,48.876512
87384008,87381111,"0",0,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353759,2.323236,48.877602
87384008,87381111,"0",0,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353760,2.318886,48.883765
87384008,87381111,"0",0,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353761,2.31635,48.886195
87384008,87381111,"0",0,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353762,2.314351,48.88744
87384008,87381111,"0",0,5,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353763,2.314113,48.887542
87381137,87382002,"0",3,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353782,2.282948,48.905676
87381137,87382002,"0",3,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353783,2.282236,48.905937
87381137,87382002,"0",3,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353784,2.279736,48.906577
87381137,87382002,"0",3,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353785,2.278786,48.906695
87381137,87382002,"0",3,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353786,2.27748,48.906776
87381137,87382002,"0",3,5,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353787,2.273581,48.90651
87381137,87382002,"0",3,6,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353788,2.272793,48.906367
87381137,87382002,"0",3,7,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353789,2.270371,48.905736
87381137,87382002,"0",3,8,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353790,2.269531,48.905482
87382002,87382200,"01",0,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353791,2.266263,48.904425
87382002,87382200,"01",0,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353792,2.252651,48.899918
87382002,87382200,"01",0,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353793,2.24888,48.898485
87382200,87382218,"01",1,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353794,2.243343,48.896148
87382200,87382218,"01",1,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353795,2.239378,48.894187
87382218,87382382,"01",2,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353796,2.23763,48.89267
87382218,87382382,"01",2,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353797,2.236281,48.89057
87382218,87382382,"01",2,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353798,2.235513,48.88808
87382382,87382374,"01",3,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353799,2.232325,48.882065
87382382,87382374,"01",3,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353800,2.228436,48.878672
87382382,87382374,"01",3,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353801,2.227056,48.877441
87382382,87382374,"01",3,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353802,2.225355,48.875908
87382382,87382374,"01",3,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353803,2.223541,48.874317
87382382,87382374,"01",3,5,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353804,2.221296,48.871871
87382374,87382366,"01",4,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353805,2.220245,48.869777
87382374,87382366,"01",4,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353806,2.219818,48.868711
87382374,87382366,"01",4,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353807,2.219347,48.867547
87382374,87382366,"01",4,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353808,2.217395,48.862358
87382374,87382366,"01",4,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353809,2.2166,48.859744
87382374,87382366,"01",4,5,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353810,2.216488,48.858698
87382374,87382366,"01",4,6,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353811,2.216485,48.85799
87382374,87382366,"01",4,7,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353812,2.216546,48.857087
87382366,87382358,"01",5,0,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353813,2.217218,48.851399
87382366,87382358,"01",5,1,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353814,2.21757,48.849789
87382366,87382358,"01",5,2,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353815,2.217919,48.848433
87382366,87382358,"01",5,3,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353816,2.217932,48.847072
87382366,87382358,"01",5,4,973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,V1,353817,2.216875,48.844516
87382358,87382259,"010",0,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353901,2.210653,48.840682
87382358,87382259,"010",0,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353902,2.20684,48.838545
87382358,87382259,"010",0,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353903,2.196208,48.839254
87382358,87382259,"010",0,3,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353904,2.191866,48.839676
87382358,87382259,"010",0,4,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353905,2.187505,48.838341
87382259,87382267,"010",1,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353906,2.186944,48.83804
87382259,87382267,"010",1,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353907,2.181257,48.836257
87382259,87382267,"010",1,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353908,2.179628,48.836068
87382259,87382267,"010",1,3,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353909,2.176975,48.835745
87382259,87382267,"010",1,4,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353910,2.162755,48.834035
87382259,87382267,"010",1,5,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353911,2.155427,48.835238
87382259,87382267,"010",1,6,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353912,2.155022,48.835479
87382259,87382267,"010",1,7,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353913,2.153518,48.836251
87382259,87382267,"010",1,8,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353914,2.152971,48.836489
87382267,87382432,"010",2,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353915,2.148282,48.838088
87382267,87382432,"010",2,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353916,2.145136,48.838706
87382267,87382432,"010",2,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353917,2.141172,48.840505
87382432,87382440,"010",3,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353918,2.13392,48.845703
87382432,87382440,"010",3,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353919,2.131232,48.84852
87382432,87382440,"010",3,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353920,2.131256,48.850479
87382432,87382440,"010",3,3,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353921,2.131943,48.853605
87382440,87382457,"010",4,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353922,2.131975,48.856185
87382440,87382457,"010",4,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353923,2.131703,48.857292
87382440,87382457,"010",4,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353924,2.128271,48.860778
87382440,87382457,"010",4,3,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353925,2.125496,48.861088
87382457,87382465,"010",5,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353926,2.119035,48.862619
87382457,87382465,"010",5,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353927,2.116624,48.863697
87382457,87382465,"010",5,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353928,2.113586,48.865249
87382457,87382465,"010",5,3,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353929,2.112442,48.86734
87382457,87382465,"010",5,4,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353930,2.106085,48.871081
87382457,87382465,"010",5,5,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353931,2.100762,48.871089
87382457,87382465,"010",5,6,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353932,2.098995,48.871166
87382465,87382473,"010",6,0,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353933,2.089206,48.872393
87382465,87382473,"010",6,1,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353934,2.082356,48.871292
87382465,87382473,"010",6,2,974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,V1,353935,2.077721,48.868625
