CODE_LIGNE;LIBELLE_LIGNE;NOM_VOIE;IDRESEAU;X Debut (WGS84);Y Debut (WGS84);X Fin (WGS84);Y Fin (WGS84)
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353798;2,235513109;48,88808039;2,232325485;48,88206488
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353799;2,232325485;48,88206488;2,228435688;48,87867188
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353800;2,228435688;48,87867188;2,227056278;48,87744075
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353801;2,227056278;48,87744075;2,225354729;48,87590795
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353802;2,225354729;48,87590795;2,223541238;48,87431714
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353803;2,223541238;48,87431714;2,221296402;48,87187099
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353804;2,221296402;48,87187099;2,2202453;48,8697773
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353805;2,2202453;48,8697773;2,219818248;48,86871092
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353806;2,219818248;48,86871092;2,219346967;48,86754678
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353807;2,219346967;48,86754678;2,217394659;48,86235831
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353808;2,217394659;48,86235831;2,21659957;48,85974411
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353809;2,21659957;48,85974411;2,216488189;48,85869758
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353810;2,216488189;48,85869758;2,21648545;48,85799021
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353811;2,21648545;48,85799021;2,216545882;48,85708712
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353812;2,216545882;48,85708712;2,217218403;48,85139894
